Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
CAR v BOU,2,0,1,0,1,12,9,5,2,17,14,6,7,1,2,0,0,1,2
CHE v HUD,5,0,2,0,1,23,5,7,2,8,5,11,2,0,0,0,0,1,5
CRY v FUL,2,0,1,0,1,17,8,6,0,9,12,11,1,2,3,0,0,1,2
EVE v WOL,1,3,1,2,-1,13,8,4,4,12,14,3,1,3,1,0,0,-1,4
TOT v NEW,1,0,0,0,0,21,8,4,2,6,6,6,3,0,1,0,0,1,1
LEI v MU,0,1,0,1,-1,17,10,6,6,14,9,7,2,4,4,0,0,-1,1
MC v ARS,3,1,2,1,1,19,4,12,2,11,8,4,2,1,1,0,0,1,4
WHM v LIV,1,1,1,1,0,13,11,2,6,9,11,2,5,1,1,0,0,0,2
EVE v MC,0,2,0,1,-1,4,15,1,4,12,6,5,6,1,1,0,0,-1,2
BRI v BUR,1,3,0,1,-1,16,9,6,5,8,7,9,3,1,1,0,0,-1,4
CRY v WHM,1,1,0,1,-1,25,6,5,4,12,9,10,4,3,0,0,0,0,2
FUL v MU,0,3,0,2,-1,15,15,3,7,14,9,5,4,3,2,0,0,-1,3
HUD v ARS,1,2,0,2,-1,15,9,6,4,17,12,5,0,3,2,0,0,-1,3
LIV v BOU,3,0,2,0,1,20,12,9,2,14,6,8,5,2,2,0,0,1,3
SOU v CAR,1,2,0,0,0,14,6,7,3,15,12,8,2,3,3,0,0,-1,3
WAT v EVE,1,0,0,0,0,7,9,2,4,21,10,8,2,2,0,0,1,1,1
MC v CHE,6,0,4,0,1,15,12,9,4,9,13,2,2,1,2,0,0,1,6
TOT v LEI,3,1,1,0,1,12,20,5,9,11,4,2,9,3,1,0,0,1,4
WOL v NEW,1,1,0,0,0,22,9,6,3,7,9,13,1,1,3,0,0,0,2
CAR v WAT,1,5,0,1,-1,15,12,6,7,10,11,3,3,1,2,0,0,-1,6
WHM v FUL,3,1,2,1,1,21,8,7,5,11,11,12,0,1,1,0,0,1,4
BOU v WOL,1,1,1,0,1,10,10,3,2,10,15,9,8,4,5,0,0,0,2
BUR v TOT,2,1,0,0,0,10,17,4,6,9,12,7,6,1,3,0,0,1,3
LEI v CRY,1,4,0,1,-1,27,7,5,5,7,14,8,3,2,1,0,0,-1,5
NEW v HUD,2,0,0,0,0,29,3,12,1,11,7,12,0,2,0,0,1,1,2
ARS v SOU,2,0,2,0,1,12,10,4,4,7,14,6,4,0,0,0,0,1,2
MU v LIV,0,0,0,0,0,6,7,3,1,15,17,3,7,1,3,0,0,0,0
CAR v EVE,0,3,0,1,-1,6,12,0,4,12,12,3,4,3,1,0,0,-1,3
HUD v WOL,1,0,0,0,0,15,7,3,0,10,10,3,5,2,2,0,0,1,1
LEI v BRI,2,1,1,0,1,19,15,3,3,6,4,4,8,1,1,0,0,1,3
NEW v BUR,2,0,2,0,1,12,12,3,2,8,8,4,7,1,3,0,0,1,2
ARS v BOU,5,1,2,1,1,16,13,6,5,11,9,9,4,2,2,0,0,1,6
CHE v TOT,2,0,0,0,0,11,9,1,0,7,14,2,2,1,1,0,0,1,2
CRY v MU,1,3,0,1,-1,17,13,2,4,8,9,5,6,2,3,0,0,-1,4
LIV v WAT,5,0,2,0,1,19,5,10,3,5,7,6,4,0,2,0,0,1,5
MC v WHM,1,0,0,0,0,20,2,7,1,2,6,12,2,0,2,0,0,1,1
SOU v FUL,2,0,2,0,1,14,14,4,4,15,13,7,4,0,1,0,0,1,2
BOU v MC,0,1,0,0,0,0,23,0,7,7,7,0,14,1,2,0,0,-1,1
BRI v HUD,1,0,0,0,0,13,6,4,4,11,6,6,3,2,2,0,0,1,1
BUR v CRY,1,3,0,1,-1,18,10,4,4,9,9,8,5,1,2,0,0,-1,4
MU v SOU,3,2,0,1,-1,16,6,6,3,7,10,9,7,2,1,0,0,1,5
TOT v ARS,1,1,0,1,-1,10,9,3,4,15,14,3,4,3,2,0,1,0,2
WHM v NEW,2,0,2,0,1,10,17,4,2,8,14,1,6,3,4,0,0,1,2
WOL v CAR,2,0,2,0,1,13,12,6,4,11,6,7,8,1,2,0,0,1,2
EVE v LIV,0,0,0,0,0,7,10,3,3,12,10,3,7,1,2,0,0,0,0
FUL v CHE,1,2,1,2,-1,12,20,5,7,11,10,5,4,2,1,0,0,-1,3
